howManagedWorkload,involvementInDepartment,involvementInUniversity,totalIncomeThisYear,jobOutOfUniversity,howManyHoursWorkedPerWeek,howMuchRentPerWeek,howMuchSpentForGas,howMuchSpentForElectric,howMuchSpentForFood,howMuchFromStudentFund,sizeOfOverdraft,anyCreditCards,howMuchCreditOwed,haveYouBorrowed,howMuchBorrowedOwed,age,sex,location
6,6,4,99999,2,99,46,999,999,30,0,0,2,0,2,0,22,1,"East Yorkshire and Northern Lincolnshire"
10,10,8,99999,2,99,53,999,999,50,0,0,2,0,2,0,22,1,"Inner London - East"
6,8,7,4000,2,99,35,20,30,15,0,0,2,0,2,0,22,1,"Inner London - East"
6,7,6,6600,2,99,39,25,25,20,0,0,2,0,2,0,25,2,"Greater Manchester"
5,7,2,5400,2,99,40,40,65,15,0,0,2,0,2,0,24,2,"Gloucestershire, Wiltshire and Bath/Bristol area"
5,5,5,99999,2,99,35,999,999,50,0,0,2,0,2,0,28,1,"Essex"
5,3,3,5760,2,99,56,0,50,25,0,0,2,0,2,0,24,1,"East Wales"
6,8,7,58000,2,99,35,0,0,25,0,0,2,0,2,0,23,2,"East Anglia"
8,6,7,15300,2,99,70,999,90,60,0,0,2,0,2,0,24,2,"East Wales"
7,7,4,5032,2,99,39,150,104,15,0,0,2,0,2,0,26,1,"Surrey, East and West Sussex"
7,7,7,3000,2,99,41,20,15,30,0,0,2,0,2,0,23,2,"Merseyside"
6,8,6,25000,2,99,52,999,999,21,0,0,2,0,2,0,38,2,"Northern Ireland"
6,6,8,7500,2,99,42,0,0,0,0,0,2,0,2,0,26,2,"Merseyside"
10,6,3,6000,2,99,45,999,999,18,0,0,2,0,2,0,43,1,"9999"
5,5,4,5050,2,99,35,999,999,10,0,0,2,0,2,0,21,1,"Northern Ireland"
9,8,7,5072,2,99,60,240,336,30,0,0,2,0,2,0,35,2,"Shropshire and Staffordshire"
9,6,3,5300,2,99,50,0,0,45,0,0,2,0,2,0,27,1,"Greater Manchester"
8,7,7,6000,2,99,6,999,999,15,0,0,2,0,2,0,36,2,"Kent"
7,8,8,12000,2,99,31,999,0,40,0,0,2,0,2,0,28,2,"Southern Scotland"
4,4,6,7000,2,99,45,999,999,20,0,0,2,0,2,0,22,1,"West Central Scotland"
8,4,4,12000,2,99,120,80,60,100,0,0,2,0,2,0,31,2,"West Wales"
7,9,7,5050,2,99,43,20,10,40,0,0,2,0,2,0,27,2,"Northern Ireland"
7,8,5,7600,2,99,0,0,0,12,0,0,2,0,2,0,22,2,"9999"
6,6,1,6000,2,99,29,999,120,10,0,0,2,0,2,0,22,1,"East Anglia"
8,5,6,5050,2,99,25,40,40,15,0,0,2,0,2,0,22,1,"Essex"
8,7,8,5000,2,99,44,0,0,40,0,0,2,0,2,0,24,1,"Outer London - East and North East"
8,7,8,5000,2,99,44,0,0,40,0,0,2,0,2,0,29,1,"Bedfordshire and Hertfordshire"
8,7,8,5050,2,99,51,0,80,15,0,0,2,0,2,0,24,2,"West Wales"
7,1,5,5400,2,99,999,999,999,999,0,0,2,0,2,0,21,2,"Tees Valley and Durham"
8,8,8,0,2,99,999,999,999,20,0,0,2,0,2,0,32,2,"Leicestershire, Rutland and Northamptonshire"
8,6,2,5500,2,99,0,300,50,20,0,0,2,0,2,0,27,2,"Outer London - West and North West"
6,5,5,4600,2,99,30,999,999,20,0,0,2,0,2,0,27,2,"Derbyshire and Nottinghamshire"
6,7,7,8600,2,99,30,999,999,999,0,0,2,0,2,0,34,2,"Bedfordshire and Hertfordshire"
8,8,6,5048,2,99,30,5,5,10,0,0,2,0,2,0,28,2,"Cheshire"
8,8,2,750,2,99,27,0,0,30,0,0,2,0,2,0,21,1,"9999"
4,5,5,2169,2,99,30,999,999,10,0,0,2,0,2,0,35,2,"Surrey, East and West Sussex"
9,7,9,5500,2,99,65,300,350,40,0,0,2,0,2,0,44,2,"Bedfordshire and Hertfordshire"
5,4,4,5200,2,99,34,0,0,35,0,0,2,0,2,0,27,1,"East Yorkshire and Northern Lincolnshire"
1,8,4,3864,2,99,37,0,0,10,0,0,2,0,2,0,24,1,"Essex"
9,9,2,99999,2,99,35,999,999,20,0,0,2,0,2,0,39,2,"Surrey, East and West Sussex"
8,2,3,6500,2,99,45,999,40,35,0,0,2,0,2,0,23,1,"East Yorkshire and Northern Lincolnshire"
5,4,5,6300,2,99,40,0,0,30,0,0,2,0,2,0,31,1,"Leicestershire, Rutland and Northamptonshire"
8,7,8,2006,2,99,33,32,16,8,0,0,2,0,2,0,23,2,"Devon"
10,6,5,4437,2,99,40,0,0,21,0,0,2,0,2,0,36,2,"East Wales"
4,6,6,6300,2,99,36,30,40,8,0,0,2,0,2,0,21,1,"Bedfordshire and Hertfordshire"
5,5,5,99999,2,99,75,999,999,30,0,0,2,0,2,0,37,2,"Leicestershire, Rutland and Northamptonshire"
6,10,10,9000,2,99,43,240,200,999,0,0,2,0,2,0,38,2,"Derbyshire and Nottinghamshire"
7,8,3,6600,2,99,40,170,100,40,0,0,2,0,2,0,34,2,"Cheshire"
9,9,9,5064,2,99,50,80,70,30,0,0,2,0,2,0,35,2,"South Yorkshire"
7,7,4,7000,2,99,38,30,40,25,0,0,2,0,2,0,24,2,"West Central Scotland"
8,7,1,5000,2,99,35,0,0,30,0,0,2,0,2,0,25,2,"North Eastern Scotland"
6,6,5,6000,2,99,36,20,15,21,0,0,2,0,2,0,22,2,"West Midlands"
7,9,8,6000,2,99,0,180,120,15,0,0,2,0,2,0,23,1,"South Yorkshire"
8,1,1,6800,2,99,52,0,80,30,0,0,2,0,2,0,24,2,"Outer London - West and North West"
7,7,5,4200,2,99,48,0,0,15,0,0,2,0,2,0,23,1,"Greater Manchester"
9,7,7,6500,2,99,999,400,500,110,0,0,2,0,2,0,37,2,"Gloucestershire, Wiltshire and Bath/Bristol area"
8,8,7,6240,2,99,36,999,999,250,0,0,2,0,2,0,27,2,"South Yorkshire"
8,5,3,4000,2,99,32,20,20,20,0,0,2,0,2,0,23,1,"Lancashire"
9,5,7,5050,2,99,0,999,999,10,0,0,2,0,2,0,21,2,"Merseyside"
8,5,6,3500,2,99,46,0,0,10,0,0,2,0,2,0,23,1,"East Yorkshire and Northern Lincolnshire"
6,7,3,9500,2,99,60,300,250,50,0,0,2,0,2,0,34,2,"Derbyshire and Nottinghamshire"
8,7,8,8900,2,99,75,60,50,40,0,0,2,0,2,0,28,1,"Tees Valley and Durham"
8,8,7,6200,2,99,35,999,999,20,0,0,2,0,2,0,39,2,"West Central Scotland"
9,9,9,7000,2,99,50,40,23,75,0,0,2,0,2,0,28,2,"Northumberland and Tyne and Wear"
8,5,2,5886,2,99,37,80,90,25,0,0,2,0,2,0,29,2,"East Anglia"
7,8,7,6500,2,99,68,0,0,50,0,0,2,0,2,0,34,2,"Northumberland and Tyne and Wear"
7,5,4,2500,2,99,35,999,40,15,0,0,2,0,2,0,23,1,"Southern Scotland"
7,6,5,8000,2,99,39,0,0,40,0,0,2,0,2,0,27,1,"Southern Scotland"
6,6,3,10550,2,99,35,999,999,20,0,0,2,0,2,0,22,2,"East Wales"
8,7,5,6300,2,99,35,0,0,15,0,0,2,0,2,0,23,1,"Merseyside"
9,4,4,6060,2,99,37,40,80,20,0,0,2,0,2,0,22,2,"Surrey, East and West Sussex"
7,4,1,5002,2,99,40,21,11,30,0,0,2,0,2,0,26,2,"East Wales"
8,2,2,5000,2,99,35,110,110,25,0,0,2,0,2,0,24,2,"Outer London - South"
7,5,5,7400,2,99,46,0,0,20,0,0,1,0,2,0,32,2,"South Yorkshire"
7,6,6,7000,2,99,40,200,200,30,0,0,1,0,2,0,29,2,"Leicestershire, Rutland and Northamptonshire"
7,5,8,15000,2,99,47,999,999,40,0,0,1,0,2,0,26,2,"Inner London - East"
4,5,6,1400,2,99,45,0,0,50,0,0,1,0,2,0,30,2,"Gloucestershire, Wiltshire and Bath/Bristol area"
7,8,8,7200,2,99,31,125,125,20,0,0,1,0,2,0,23,1,"Dorset and Somerset"
8,6,4,3600,2,99,35,0,0,20,0,0,1,0,2,0,28,1,"Merseyside"
10,8,9,5800,2,99,37,999,999,25,0,0,1,0,2,0,24,2,"North Eastern Scotland"
7,7,5,20000,2,99,70,0,0,80,0,0,1,0,2,0,27,2,"East Wales"
7,7,5,5916,2,99,36,0,0,20,0,0,1,0,2,0,32,2,"South Yorkshire"
8,1,6,6000,2,99,45,0,0,25,0,0,1,0,2,0,36,2,"Eastern Scotland"
7,6,6,7000,2,99,35,999,999,30,0,0,1,0,2,0,24,2,"South Yorkshire"
9,6,5,6500,2,99,36,40,50,15,0,0,1,0,2,0,26,1,"Shropshire and Staffordshire"
7,6,2,4000,2,99,42,0,30,17,0,0,1,0,2,0,22,2,"Northumberland and Tyne and Wear"
5,3,3,9500,2,99,34,100,100,13,0,0,1,0,2,0,25,2,"Northern Ireland"
6,8,3,0,2,99,55,40,40,40,0,0,1,0,2,0,28,2,"Cheshire"
9,6,6,99999,2,99,100,0,0,50,0,0,1,0,2,0,35,2,"Merseyside"
5,6,3,5022,2,99,25,0,0,999,0,0,1,0,2,0,22,2,"Surrey, East and West Sussex"
7,6,8,8000,2,99,40,20,10,30,0,0,1,0,2,0,32,2,"9999"
7,6,3,2200,2,99,27,40,40,10,0,0,1,0,2,0,24,1,"Outer London - East and North East"
10,7,7,99999,2,99,49,0,0,5,0,0,1,0,2,0,23,2,"Inner London - East"
9,7,6,6000,2,99,30,100,75,25,0,0,1,0,2,0,26,1,"Gloucestershire, Wiltshire and Bath/Bristol area"
7,5,4,0,2,99,32,999,999,22,0,0,1,0,2,0,26,2,"Greater Manchester"
7,8,7,7500,2,99,32,999,999,30,0,0,1,0,2,0,26,2,"Shropshire and Staffordshire"
8,5,2,5200,2,99,38,999,999,25,0,0,1,0,2,0,26,1,"Leicestershire, Rutland and Northamptonshire"
5,5,4,12000,2,99,56,0,0,50,0,0,1,0,2,0,27,2,"Leicestershire, Rutland and Northamptonshire"
7,7,7,0,2,99,25,999,999,10,0,0,1,0,2,0,30,2,"Devon"
8,7,5,5500,2,99,38,0,0,25,0,0,1,0,2,0,24,2,"Outer London - West and North West"
6,8,6,0,2,99,42,999,999,46,0,0,1,0,2,0,29,1,"Inner London - East"
7,5,4,5400,2,99,35,80,50,25,0,0,2,0,1,0,22,2,"Surrey, East and West Sussex"
7,7,4,2500,2,99,19,999,999,10,0,0,9,0,9,0,28,2,"South Yorkshire"
8,8,3,5000,2,99,38,30,20,12,0,0,2,0,1,0,23,2,"North Eastern Scotland"
4,6,4,11700,2,99,38,0,0,25,0,0,2,0,1,0,24,1,"Lancashire"
5,2,1,10000,2,99,7,240,240,35,0,0,2,0,1,0,23,2,"Derbyshire and Nottinghamshire"
9,8,7,5886,2,99,30,100,100,120,0,0,2,0,1,0,33,2,"Northumberland and Tyne and Wear"
8,8,4,7300,2,99,35,80,80,25,0,0,2,0,1,0,23,2,"Dorset and Somerset"
6,7,7,5000,2,99,31,15,15,20,0,0,2,0,1,0,22,2,"East Anglia"
5,4,5,7000,2,99,41,999,999,20,0,0,2,0,9,0,25,1,"Lancashire"
8,7,6,99999,9,99,0,0,0,0,0,0,1,0,2,0,22,1,"Northumberland and Tyne and Wear"
5,3,4,99999,1,15,33,999,999,30,0,0,1,0,2,0,22,2,"Outer London - East and North East"
8,6,3,1800,1,2,10,0,0,0,0,0,2,0,1,0,21,1,"Outer London - South"
8,7,2,5050,2,999,40,999,999,12,0,0,2,0,2,0,25,1,"Cornwall and Isles of Scilly"
7,7,4,2500,1,2,40,0,0,30,0,0,2,0,2,0,26,2,"Surrey, East and West Sussex"
7,5,4,99999,1,19,999,100,80,20,0,0,2,0,2,0,28,1,"West Midlands"
9,3,1,4450,1,8,70,50,200,13,0,0,2,0,1,0,99,2,"Greater Manchester"
3,7,5,6000,1,4,25,999,999,20,0,0,1,0,2,0,26,2,"Shropshire and Staffordshire"
7,7,7,4000,1,9,40,25,25,15,0,0,2,0,2,0,22,1,"Devon"
6,8,6,6000,1,3,10,0,0,10,0,0,2,0,2,0,22,2,"Derbyshire and Nottinghamshire"
7,6,5,6300,2,99,52,80,70,27,999,0,2,0,2,0,25,1,"Shropshire and Staffordshire"
9,7,4,8400,2,99,80,240,120,60,6,0,2,0,2,0,27,1,"East Wales"
4,5,3,5960,2,99,35,45,50,20,0,300,2,0,1,0,26,2,"Leicestershire, Rutland and Northamptonshire"
5,7,5,5050,2,99,45,21,9,20,0,5500,2,0,2,0,22,2,"Hampshire and Isle of Wight"
5,4,5,3036,2,99,35,32,33,15,0,800,2,0,2,0,23,1,"Hampshire and Isle of Wight"
8,9,4,5050,2,99,35,50,45,20,0,700,2,0,2,0,23,1,"South Yorkshire"
7,6,6,0,2,99,37,999,999,999,0,9999,1,0,2,0,25,1,"West Midlands"
6,7,4,3400,2,99,30,0,25,30,0,1000,2,0,2,0,23,2,"West Wales"
9,2,5,1850,2,99,32,20,20,20,0,750,2,0,2,0,22,2,"Derbyshire and Nottinghamshire"
7,4,2,12200,2,99,39,999,999,15,0,600,2,0,2,0,26,1,"Lancashire"
8,6,4,6000,2,99,29,999,120,10,0,500,2,0,2,0,22,1,"Outer London - East and North East"
6,3,8,6000,2,99,55,0,0,15,0,400,2,0,2,0,22,1,"Lancashire"
5,7,5,7000,2,99,38,200,100,30,0,400,1,0,2,0,23,1,"Eastern Scotland"
4,7,5,7000,2,99,36,0,0,30,0,700,2,0,2,0,23,2,"Northumberland and Tyne and Wear"
8,8,7,1800,2,99,33,0,0,20,0,300,2,0,2,0,23,2,"Derbyshire and Nottinghamshire"
5,3,3,5000,2,99,24,5,10,10,0,300,2,0,2,0,22,2,"Northumberland and Tyne and Wear"
3,4,3,1700,2,99,35,210,0,10,0,500,1,0,1,0,27,1,"Gloucestershire, Wiltshire and Bath/Bristol area"
8,7,6,5400,2,99,999,100,120,40,0,500,2,0,2,0,24,1,"West Central Scotland"
6,8,6,8000,2,99,43,350,220,30,0,400,2,0,2,0,28,2,"Surrey, East and West Sussex"
10,8,1,3000,2,99,35,70,45,40,0,300,2,0,2,0,33,2,"Leicestershire, Rutland and Northamptonshire"
7,6,6,7000,2,99,62,75,75,25,0,900,2,0,1,0,27,1,"West Wales"
5,2,2,5500,2,99,28,60,60,10,0,700,2,0,2,0,23,2,"Leicestershire, Rutland and Northamptonshire"
8,6,3,8500,1,99,30,13,999,20,0,700,1,0,2,0,23,1,"Shropshire and Staffordshire"
99,7,4,8500,2,99,38,999,999,35,0,700,2,0,2,0,22,2,"Cheshire"
10,8,6,5500,2,99,37,15,25,20,0,200,2,0,2,0,22,1,"Northumberland and Tyne and Wear"
6,3,3,4950,2,99,35,0,50,25,0,250,2,0,2,0,25,1,"Greater Manchester"
7,7,6,5760,2,99,38,12,40,25,0,1000,1,0,2,0,23,2,"East Yorkshire and Northern Lincolnshire"
8,6,4,5000,2,99,45,999,999,20,0,500,2,0,2,0,25,2,"West Wales"
6,8,2,6485,2,99,35,20,20,15,0,900,2,0,2,0,25,1,"West Central Scotland"
7,5,7,5000,2,99,40,0,0,15,0,700,2,0,2,0,22,1,"Tees Valley and Durham"
6,8,2,9800,2,99,40,30,30,30,0,9999,9,0,2,0,23,2,"Outer London - East and North East"
6,6,5,5100,2,99,999,0,0,20,0,400,2,0,1,0,21,2,"West Central Scotland"
7,3,2,10600,2,99,27,60,60,15,0,400,2,0,2,0,23,1,"Northumberland and Tyne and Wear"
10,5,2,2300,2,99,38,30,20,15,0,600,2,0,2,0,23,2,"Merseyside"
8,8,4,4000,1,20,40,30,40,30,0,500,2,0,2,0,22,2,"East Yorkshire and Northern Lincolnshire"
4,4,5,3170,1,4,38,60,25,15,0,800,2,0,2,0,23,1,"Cornwall and Isles of Scilly"
8,5,4,5300,2,99,38,20,50,15,0,700,2,0,2,0,21,1,"Outer London - East and North East"
8,8,4,8000,2,99,26,125,300,30,0,450,2,0,2,0,29,2,"Derbyshire and Nottinghamshire"
8,8,7,2500,1,6,33,40,40,15,0,100,1,0,2,0,26,2,"Highlands and Islands"
7,10,7,6000,2,99,35,30,15,20,0,750,2,0,2,0,23,1,"Surrey, East and West Sussex"
6,4,4,5000,2,99,50,120,120,15,0,800,1,0,1,0,23,1,"Gloucestershire, Wiltshire and Bath/Bristol area"
8,4,4,7500,2,99,25,25,25,20,0,9999,1,400,2,0,28,1,"Tees Valley and Durham"
7,7,3,9600,2,99,90,999,840,20,0,0,1,9999,2,0,32,1,"9999"
8,9,2,7200,2,99,35,100,45,15,0,400,1,200,2,0,24,1,"Greater Manchester"
9,9,3,7800,2,99,34,120,120,22,0,200,1,200,2,0,24,2,"Kent"
6,4,3,8200,2,99,43,0,0,25,0,600,1,300,2,0,23,1,"Highlands and Islands"
7,6,5,12000,2,99,57,0,0,30,0,0,1,100,2,0,24,2,"Derbyshire and Nottinghamshire"
2,2,4,10000,2,99,44,45,40,20,0,0,1,250,1,0,25,2,"North Eastern Scotland"
8,6,4,8300,2,99,37,0,54,30,0,500,1,60,2,0,25,2,"Outer London - East and North East"
6,6,4,1000,1,2,999,300,300,50,0,0,1,500,2,0,43,1,"9999"
9,8,6,7500,2,99,37,30,20,15,0,200,1,650,2,0,23,2,"Bedfordshire and Hertfordshire"
7,7,6,5050,2,99,42,20,25,15,0,300,1,100,2,0,23,1,"East Wales"
