howManagedWorkload,involvementInDepartment,involvementInUniversity,totalIncomeThisYear,howMuchRentPerWeek,howMuchSpentForGas,howMuchSpentForElectric,howMuchSpentForFood,age,sex,location,ResidualIncome
6.0,6.0,4.0,,46.0,,,30.0,22.0,male,East Yorkshire and Northern Lincolnshire,
,,8.0,,53.0,,,50.0,22.0,male,Inner London - East,
6.0,8.0,7.0,4000.0,35.0,20.0,30.0,15.0,22.0,male,Inner London - East,800.0
6.0,7.0,6.0,6600.0,39.0,25.0,25.0,20.0,25.0,female,Greater Manchester,2932.0
5.0,7.0,2.0,5400.0,40.0,40.0,65.0,15.0,24.0,female,"Gloucestershire, Wiltshire and Bath/Bristol area",1280.0
5.0,5.0,5.0,,35.0,,,50.0,28.0,male,Essex,
5.0,3.0,3.0,5760.0,56.0,0.0,50.0,25.0,24.0,male,East Wales,948.0
6.0,8.0,7.0,,35.0,0.0,0.0,25.0,23.0,female,East Anglia,
8.0,6.0,7.0,,70.0,,90.0,60.0,24.0,female,East Wales,
7.0,7.0,4.0,5032.0,39.0,150.0,104.0,15.0,26.0,male,"Surrey, East and West Sussex",-824.0
7.0,7.0,7.0,3000.0,41.0,20.0,15.0,30.0,23.0,female,Merseyside,-1112.0
6.0,8.0,6.0,,52.0,,,21.0,38.0,female,Northern Ireland,
6.0,6.0,8.0,7500.0,42.0,0.0,0.0,0.0,26.0,female,Merseyside,5316.0
,6.0,3.0,6000.0,45.0,,,18.0,43.0,male,9999,
5.0,5.0,4.0,5050.0,35.0,,,10.0,21.0,male,Northern Ireland,
9.0,8.0,7.0,5072.0,60.0,240.0,,30.0,35.0,female,Shropshire and Staffordshire,
9.0,6.0,3.0,5300.0,50.0,0.0,0.0,45.0,27.0,male,Greater Manchester,360.0
8.0,7.0,7.0,6000.0,,,,15.0,36.0,female,Kent,
7.0,8.0,8.0,12000.0,31.0,,0.0,40.0,28.0,female,Southern Scotland,
4.0,4.0,6.0,7000.0,45.0,,,20.0,22.0,male,West Central Scotland,
8.0,4.0,4.0,12000.0,,80.0,60.0,100.0,31.0,female,West Wales,
7.0,9.0,7.0,5050.0,43.0,20.0,10.0,40.0,27.0,female,Northern Ireland,374.0
7.0,8.0,5.0,7600.0,,0.0,0.0,12.0,22.0,female,9999,
6.0,6.0,1.0,6000.0,29.0,,120.0,10.0,22.0,male,East Anglia,
8.0,5.0,6.0,5050.0,25.0,40.0,40.0,15.0,22.0,male,Essex,2010.0
8.0,7.0,8.0,5000.0,44.0,0.0,0.0,40.0,24.0,male,Outer London - East and North East,632.0
8.0,7.0,8.0,5000.0,44.0,0.0,0.0,40.0,29.0,male,Bedfordshire and Hertfordshire,632.0
8.0,7.0,8.0,5050.0,51.0,0.0,80.0,15.0,24.0,female,West Wales,658.0
